"Jnior,12,5472,member"
"prima,12,5184,member"
"sobreviviente,12,5112,member"
"Lokenn,12,5099,member"
"Maximus,12,5093,coLeader"
"RB,12,5090,member"
"Isaac Monteiro,13,5042,coLeader"
"Teteu ak47,13,5002,elder"
"Jr. Fnix,12,4992,leader"
"MARADONA,13,4977,member"
"JOAOOMELHOR,12,4955,member"
"ZScarbloodX,13,4942,member"
"richardson play,12,4906,member"
"The King,12,4905,member"
"Lord Empalador,12,4882,elder"
"H E N R Y,12,4875,elder"
"Ezequiel thg,13,4860,coLeader"
"lela,13,4828,coLeader"
"brunocosta,11,4818,member"
"Guilherme Hara,12,4814,member"
"MURILOOWW,12,4803,member"
"kenzory,12,4799,member"
"T3M!L$0N ZK1,12,4740,member"
"lucas jl,12,4721,member"
"MysterJean,12,4717,elder"
"KingCris,12,4717,member"
"TilapiaNoEspeto,13,4703,elder"
"abelardo,11,4668,member"
"NK I BABY,13,4462,member"
"Leticia Vieira,8,4116,member"
"Marcondes,12,4081,member"
